category,tipo_veda,year,semana,title,url
A_VXIV,reclutamiento,2019,5,Reporte N°1: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 5/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103141:Reporte-N-1-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-5-2019
A_VXIV,reclutamiento,2019,6,Reporte N°2: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 6/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103265:Reporte-N-2-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-6-2019
A_VXIV,reclutamiento,2019,7,Reporte N°3: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 7/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103354:Reporte-N-3-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-7-2019
A_VXIV,reclutamiento,2019,8,Reporte N°4: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 8/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103461:Reporte-N-4-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-8-2019
A_VXIV,reclutamiento,2019,9,Reporte N°5: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 9/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103550:Reporte-N-5-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-9-2019
A_VXIV,reclutamiento,2019,10,Reporte N°6: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 10/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103613:Reporte-N-6-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-10-2019
A_VXIV,reclutamiento,2019,11,Reporte N°7: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 11/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103647:Reporte-N-7-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-11-2019
A_VXIV,reclutamiento,2019,12,Reporte N°8: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 12/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103717:Reporte-N-8-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-12-2019
A_VXIV,reclutamiento,2019,13,Reporte N°9: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 13/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103843:Reporte-N-9-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-13-2019
A_VXIV,reclutamiento,2019,14,Reporte N°10: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 14/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103892:Reporte-N-10-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-14-2019
A_VXIV,reclutamiento,2019,15,Reporte N°11: Reclutamiento de sardina común y anchoveta regiones de Valparaíso a Los Ríos (Semana 15/2019),https://www.subpesca.cl/portal/publicaciones/Publicaciones/Informes/Indicadores-biologicos/103994:Reporte-N-11-Reclutamiento-de-sardina-comun-y-anchoveta-regiones-de-Valparaiso-a-Los-Rios-Semana-15-2019
